,A,B,C,D,E,F,G,H,I,J
1,Ref No,Agent Name,Sector,Amount Paid (INR),Deduction (INR),Received On,Processed On,Payout Status,Approved By,Remarks
,,,,,,,,,,
2,RF-1713,TripHub,DEL-SIN,,3200,18-06-2026,,Pending Payout,,pending manager sign-off
3,RF-1178,Coral Voyages,DEL-KUL,22300,0,04-03-2026,07-03-2026,Refund Done,N. Iyer,payout complete
4,RF-1632,BlueJet Tours,HYD-BKK,27800,0,23/03/26,25-03-2026,Refund Done,N. Iyer,transferred
5,RF-1754,Metro Yatra,DEL-CCU,4700,0,16-03-2026,20-03-2026,Refund Done,,NEFT done
6,RF-1796,Skyline Travels,DEL-BOM,5100,,26-05-2026,29-05-2026,Refund Done,,settled
7,RF-1628,Skyline Travels,COK-DXB,27000,0,24/03/26,29-03-2026,Refund Done,S. Bhatt,paid to wallet
8,RF-1780,WANDER AGENCY,HYD-BKK,12800,0,21-02-2026,22-02-2026,Refund Done,,NEFT done
9,RF-1231,Skyline Travels,GOI-BOM,6800,0,19-05-2026,23-05-2026,Refund Done,,settled
10,RF-1213,Wander Agency,DEL-BOM,12100,0,08-05-2026,10-05-2026,Refund Done,,payout complete
11,RF-1652,Wander Agency,MAA-CMB,17000,,21-05-2026,24-05-2026,Refund Done,,transferred
12,RF-1313 (revised),SafarNama Travel,HYD-BKK,17200,1500,11-06-2026,14-06-2026,Refund Done,,paid to wallet
13,RF-1562,Nomad Travel,BOM-BKK,26800,0,21-03-2026,25-03-2026,Refund Done,N. Iyer,transferred
14,RF-1589,Nomad Travel,HYD-BKK,0,,18-02-2026,24-02-2026,Declined,,rejected by policy
15,RF-1648,Orbit Travels,DEL-BOM,8500,0,03-04-2026,06-04-2026,Refund Done,,settled
16,RF-1714,yatri junction,DEL-KUL,,1800,27-06-2026,,Pending Payout,,supplier not confirmed
17,RF-1689,Voyage Desk,BLR-DXB,29500,2600,11-05-2026,30-05-2026,Refund Done,N. Iyer,transferred
18,RF-1568,Wander Agency,BOM-BKK,0,,30-06-2026,01-07-2026,Declined,,rejected by policy
19,RF-1722,Orbit Travels,BOM-BKK,,0,27-06-2026,,Pending Payout,,in queue
20,RF-1812,ZipTrip,DEL-SIN,,,09-06-2026,,Pending Payout,,hold - amount mismatch
21,RF-1692,Anand Travels,DEL-BOM,4800,0,24-03-2026,28-03-2026,Refund Done,,NEFT done
22,RF-1340,Orbit Travels,PNQ-DEL,4300,0,15-06-2026,20-06-2026,Refund Done,,transferred
23,RF-1777,GoFly Holidays,MAA-CMB,13400,0,25-03-2026,29-03-2026,Refund Done,,transferred
24,RF-1679,Nomad Travel,DEL-KUL,0,0,02-03-2026,03-03-2026,Declined,,rejected
25,RF-1232,GoFly Holidays,DEL-KTM,8800,,23-04-2026,26-04-2026,Refund Done,,transferred
26,RF-1536,DeccanFly,BOM-BKK,0,,22-05-2026,27-05-2026,Declined,,non-refundable fare
27,RF-1680,GoFly Holidays,BOM-BKK,22500,,02-03-2026,08-03-2026,Refund Done,N. Iyer,payout complete
28,RF-1543,Yatri Junction,DEL-KUL,26700,0,01-03-2026,03-03-2026,Refund Done,S. Bhatt,settled
29,RF-1557,Yatri Junction,BLR-MAA,5500,,22-04-2026,26-04-2026,Refund Done,,payout complete
30,RF-1661 (revised),Lotus Travel Co,DEL-KUL,22200,1900,03-05-2026,14-05-2026,Refund Done,S. Bhatt,paid to wallet
31,RF-1740,BlueJet Tours,GOI-BOM,5400,0,27-04-2026,28-04-2026,Refund Done,,transferred
32,RF-1531,BlueJet Tours,BLR-MAA,8900,0,20-03-2026,21-03-2026,Refund Done,,NEFT done
33,RF-1380,TripHub,CCU-BOM,11700,,26-04-2026,30-04-2026,Refund Done,,NEFT done
34,RF-1709,TripHub,DEL-CCU,7800,0,27-05-2026,01-06-2026,Refund Done,,NEFT done
35,RF-1405,Global Wings,GOI-BOM,4900,0,07-02-2026,10-02-2026,Refund Done,,settled
36,RF-1596,Peak Journeys,DEL-BOM,6000,0,05/03/26,09-03-2026,Refund Done,,transferred
37,RF-1518,Lotus Travel Co,DEL-BOM,4900,,02-04-2026,04-04-2026,Refund Done,,transferred
38,RF-1138,GoFly Holidays,BLR-MAA,10500,0,13-03-2026,17-03-2026,Refund Done,,payout complete
39,RF-1629,BlueJet Tours,DEL-BOM,12500,0,09-02-2026,10-02-2026,Refund Done,,transferred
40,RF-1534,Orbit Travels,DEL-DXB,0,0,03-06-2026,08-06-2026,Declined,,outside cancellation window
41,RF-1612,Global Wings,DEL-CCU,,0,27-06-2026,,Pending Payout,,supplier not confirmed
42,RF-1321,Wander Agency,BLR-DXB,28100,2400,05-05-2026,18-05-2026,Refund Done,N. Iyer,paid to wallet
43,RF-1237,TripHub,HYD-BKK,18200,1600,08-05-2026,13/05/26,Refund Done,,NEFT done
44,RF-1539,Nomad Travel,BLR-MAA,6100,0,24-04-2026,28-04-2026,Refund Done,,settled
45,RF-1323,Kaveri Tours,HYD-BKK,16100,0,03-06-2026,05-06-2026,Refund Done,,NEFT done
46,RF-1102,BlueJet Tours,BOM-BKK,25400,0,14-03-2026,17-03-2026,Refund Done,N. Iyer,NEFT done
47,RF-1100,TripHub,PNQ-DEL,9700,0,11-05-2026,12-05-2026,Refund Done,,payout complete
