,A,B,C,D,E,F,G,H,I,J
1,Ticket ID,Agent,Route,Refund Amount (INR),Request Date,Last Updated,Status,Handled By,Channel,Notes
,,,,,,,,,,
2,RF-1286,Sunrise Trips,DEL-KTM,10200,25-05-2026,31-05-2026,Closed,Aditi M.,WhatsApp,"refund processed, informed agent"
3,RF-1757,Wander Agency,COK-DXB,22900,09-06-2026,28-06-2026,Closed,Faizan K.,Phone,"refund processed, informed agent"
4,RF-1580,Skyline Travels,DEL-KUL,34300,10-02-2026,18-02-2026,Closed,Vikram T.,Email,customer notified
5,RF-1090,ZipTrip,PNQ-DEL,10300,26-03-2026,05-04-2026,Closed,,Portal,"refund processed, informed agent"
6,RF-1295,Metro Yatra,BOM-DXB,28800,16-02-2026,19-02-2026,Closed,Aditi M.,Phone,refund given
7,RF-1148,Skyline Travels,COK-DXB,16500,30/05/26,09-06-2026,Closed,Faizan K.,Portal,closed - agent informed
8,RF-1570,Skyline Travels,BLR-DXB,23600,18-06-2026,20-06-2026,Closed,Rakesh N.,WhatsApp,customer notified
9,RF 1750,BlueJet Tours,DEL-CCU,12900,07-02-2026,17-02-2026,Closed,Aditi M.,Phone,amount credited as per process
10,RF-1018,Voyage Desk,BOM-DXB,14500,10-05-2026,10-05-2026,Closed,Faizan K.,Portal,refund given
11,RF-1595,Metro Yatra,GOI-BOM,4000,18-03-2026,24-03-2026,Closed,Rakesh N.,Phone,amount credited as per process
12,RF-1386,TripHub,HYD-DEL,8000,25-04-2026,03-05-2026,Closed,Rakesh N.,Portal,refund given
13,RF-1252,TripHub,DEL-KUL,21100,18-05-2026,05-06-2026,Closed,Priya S.,Phone,amount credited as per process
14,RF-1775,Sunrise Trips,DEL-CCU,9400,19/03/26,31-03-2026,Closed,Aditi M.,Portal,done
15,RF-1725,GoFly Holidays,MAA-CMB,16700,31-03-2026,08-04-2026,Closed,Rakesh N.,Phone,customer notified
16,RF-1851,Voyage Desk,BLR-DXB,30500,17-04-2026,26-04-2026,Closed,Aditi M.,Email,"refund processed, informed agent"
17,RF-1365,ZipTrip,BLR-DXB,13900,02-03-2026,11-03-2026,Closed,Vikram T.,Portal,done
18,RF-1256,Peak Journeys,BOM-DXB,13200,18-04-2026,23-04-2026,Closed,Aditi M.,Email,refund given
19,RF-1298,GoFly Holidays,MAA-CMB,15400,06-06-2026,13-06-2026,Closed,Sneha R.,Portal,amount credited as per process
20,RF-1627,Wander Agency,CCU-BOM,8400,14-06-2026,15-06-2026,Closed,Priya S.,Portal,"refund processed, informed agent"
21,RF-1096,GoFly Holidays,BOM-DXB,24200,13-02-2026,25-02-2026,Closed,Aditi M.,Email,done
22,RF-1561,Nomad Travel,GOI-BOM,9100,19-04-2026,26-04-2026,Closed,Vikram T.,Phone,amount credited as per process
23,RF-1351,TripHub,HYD-BKK,31100,08-04-2026,12-04-2026,Closed,Rakesh N.,Phone,done
24,RF-1405,Global Wings,GOI-BOM,4900,06-02-2026,10-02-2026,Closed,Priya S.,Portal,"refund processed, informed agent"
25,RF-1706,BlueJet Tours,DEL-SIN,36700,28-02-2026,08-03-2026,Closed,Sneha R.,Portal,"refund processed, informed agent"
26,RF-1215,Orbit Travels,DEL-BOM,7500,29-03-2026,07/04/26,Closed,Vikram T.,Portal,amount credited as per process
27,RF-1067,GoFly Holidays,DEL-DXB,16900,07-06-2026,08-06-2026,Closed,Rakesh N.,Portal,customer notified
28,RF-1199,Nomad Travel,BOM-DXB,24700,13-05-2026,14-05-2026,Closed,Priya S.,Portal,refund given
29,RF-1486,Peak Journeys,DEL-DXB,31200,17-04-2026,27-04-2026,Closed,Aditi M.,WhatsApp,customer notified
30,RF-1676,Pinnacle Getaways,COK-DXB,19400,08-02-2026,17-02-2026,Not Eligible,Vikram T.,Email,past cancellation window
31,RF-1760,Sunrise Trips,DEL-KTM,12000,26-04-2026,03-05-2026,Closed,Vikram T.,Email,done
32,RF-1545,Coral Voyages,BOM-DXB,19000,24-02-2026,01-03-2026,Closed,Rakesh N.,Portal,done
33,RF-1232,GoFly Holidays,DEL-KTM,8800,22-04-2026,30-04-2026,Working,Faizan K.,WhatsApp,customer notified
34,RF-1594,TripHub,DEL-BOM,6800,10-05-2026,18-05-2026,Closed,Rakesh N.,Phone,amount credited as per process
35,RF-1265,Lotus Travel Co,HYD-DEL,7500,10-05-2026,20/05/26,Closed,Priya S.,Portal,closed - agent informed
36,RF-1729,TripHub,HYD-DEL,11100,21-04-2026,24-04-2026,Closed,Faizan K.,Phone,done
37,RF-1665,Himalaya Holidays,DEL-KUL,14000,17-03-2026,23-03-2026,Closed,Priya S.,Portal,customer notified
38,RF-1606,BlueJet Tours,DEL-KUL,32500,10-03-2026,20-03-2026,Closed,Faizan K.,Portal,"refund processed, informed agent"
39,RF-1175,Orbit Travels,DEL-KTM,16600,12-05-2026,19-05-2026,Closed,Priya S.,Portal,customer notified
40,RF-1836,Peak Journeys,COK-DXB,24100,12-03-2026,22-03-2026,Closed,Aditi M.,Phone,"refund processed, informed agent"
41,RF-1135,Orbit Travels,CCU-BOM,12500,02-03-2026,07-03-2026,Closed,Rakesh N.,Email,closed - agent informed
42,RF-1495,TripHub,BOM-BKK,28900,22-03-2026,27-03-2026,Closed,Sneha R.,Portal,amount credited as per process
43,RF-1791,TripHub,BLR-DXB,19100,25-06-2026,30-06-2026,Closed,Sneha R.,Portal,"refund processed, informed agent"
44,RF-1527,Wander Agency,DEL-CCU,12300,17-04-2026,26-04-2026,Closed,Faizan K.,Phone,informed agent
45,RF-1786,Peak Journeys,HYD-DEL,7300,15-02-2026,21-02-2026,Closed,Rakesh N.,Phone,refund given
46,RF-1112,Metro Yatra,MAA-CMB,10100,29-04-2026,05-05-2026,Closed,Aditi M.,Portal,refund given
47,RF-1160,GoFly Holidays,BLR-DXB,14000,05-05-2026,13-05-2026,Closed,Vikram T.,Email,refund given
48,RF-1688,Voyage Desk,HYD-DEL,8300,27-03-2026,03-04-2026,Closed,Aditi M.,Portal,done
49,RF-1164,Sunrise Trips,DEL-BOM,10700,28-02-2026,09-03-2026,Closed,Priya S.,Portal,done
50,RF-1743,Global Wings,HYD-DEL,11700,27-04-2026,04-05-2026,Closed,Aditi M.,Portal,amount credited as per process
51,RF-1186,TripHub,DEL-KUL,31800,27-02-2026,07-03-2026,Closed,Vikram T.,WhatsApp,customer notified
52,RF-1522,Nomad Travel,MAA-CMB,13400,28-02-2026,06-03-2026,Closed,Vikram T.,Email,amount credited as per process
53,RF-1086,GoFly Holidays,DEL-DXB,28200,11-03-2026,18-03-2026,Closed,Faizan K.,Email,refund given
54,RF-1127,Voyage Desk,BOM-DXB,16300,09/02/26,15-02-2026,Closed,Sneha R.,Portal,customer notified
55,RF-1068,Nomad Travel,DEL-SIN,19500,16-05-2026,27-05-2026,Closed,Priya S.,Phone,customer notified
56,RF-1280,ZipTrip,DEL-BOM,9200,30-06-2026,30-06-2026,Escalated,Vikram T.,Email,pending confirmation
57,RF-1539,Nomad Travel,BLR-MAA,6100,22-04-2026,30-04-2026,Closed,Priya S.,Portal,refund given
