Ticket ID,Agent,Route,Refund Amount (INR),Request Date,Last Updated,Status,Handled By,Channel,Notes
RF-1286,Sunrise Trips,DEL-KTM,10200,25-05-2026,31-05-2026,Closed,Aditi M.,WhatsApp,"refund processed, informed agent"
RF-1757,Wander Agency,COK-DXB,22900,09-06-2026,28-06-2026,Closed,Faizan K.,Phone,"refund processed, informed agent"
RF-1580,Skyline Travels,DEL-KUL,34300,10-02-2026,18-02-2026,Closed,Vikram T.,Email,customer notified
RF-1090,ZipTrip,PNQ-DEL,10300,26-03-2026,05-04-2026,Closed,,Portal,"refund processed, informed agent"
RF-1295,Metro Yatra,BOM-DXB,28800,16-02-2026,19-02-2026,Closed,Aditi M.,Phone,refund given
RF-1148,Skyline Travels,COK-DXB,16500,30/05/26,09-06-2026,Closed,Faizan K.,Portal,closed - agent informed
RF-1570,Skyline Travels,BLR-DXB,23600,18-06-2026,20-06-2026,Closed,Rakesh N.,WhatsApp,customer notified
RF 1750,BlueJet Tours,DEL-CCU,12900,07-02-2026,17-02-2026,Closed,Aditi M.,Phone,amount credited as per process
RF-1018,Voyage Desk,BOM-DXB,14500,10-05-2026,10-05-2026,Closed,Faizan K.,Portal,refund given
RF-1595,Metro Yatra,GOI-BOM,4000,18-03-2026,24-03-2026,Closed,Rakesh N.,Phone,amount credited as per process
RF-1386,TripHub,HYD-DEL,8000,25-04-2026,03-05-2026,Closed,Rakesh N.,Portal,refund given
RF-1252,TripHub,DEL-KUL,21100,18-05-2026,05-06-2026,Closed,Priya S.,Phone,amount credited as per process
RF-1775,Sunrise Trips,DEL-CCU,9400,19/03/26,31-03-2026,Closed,Aditi M.,Portal,done
RF-1725,GoFly Holidays,MAA-CMB,16700,31-03-2026,08-04-2026,Closed,Rakesh N.,Phone,customer notified
RF-1851,Voyage Desk,BLR-DXB,30500,17-04-2026,26-04-2026,Closed,Aditi M.,Email,"refund processed, informed agent"
RF-1365,ZipTrip,BLR-DXB,13900,02-03-2026,11-03-2026,Closed,Vikram T.,Portal,done
RF-1256,Peak Journeys,BOM-DXB,13200,18-04-2026,23-04-2026,Closed,Aditi M.,Email,refund given
RF-1298,GoFly Holidays,MAA-CMB,15400,06-06-2026,13-06-2026,Closed,Sneha R.,Portal,amount credited as per process
RF-1627,Wander Agency,CCU-BOM,8400,14-06-2026,15-06-2026,Closed,Priya S.,Portal,"refund processed, informed agent"
RF-1096,GoFly Holidays,BOM-DXB,24200,13-02-2026,25-02-2026,Closed,Aditi M.,Email,done
RF-1561,Nomad Travel,GOI-BOM,9100,19-04-2026,26-04-2026,Closed,Vikram T.,Phone,amount credited as per process
RF-1351,TripHub,HYD-BKK,31100,08-04-2026,12-04-2026,Closed,Rakesh N.,Phone,done
RF-1405,Global Wings,GOI-BOM,4900,06-02-2026,10-02-2026,Closed,Priya S.,Portal,"refund processed, informed agent"
RF-1706,BlueJet Tours,DEL-SIN,36700,28-02-2026,08-03-2026,Closed,Sneha R.,Portal,"refund processed, informed agent"
RF-1215,Orbit Travels,DEL-BOM,7500,29-03-2026,07/04/26,Closed,Vikram T.,Portal,amount credited as per process
RF-1067,GoFly Holidays,DEL-DXB,16900,07-06-2026,08-06-2026,Closed,Rakesh N.,Portal,customer notified
RF-1199,Nomad Travel,BOM-DXB,24700,13-05-2026,14-05-2026,Closed,Priya S.,Portal,refund given
RF-1486,Peak Journeys,DEL-DXB,31200,17-04-2026,27-04-2026,Closed,Aditi M.,WhatsApp,customer notified
RF-1676,Pinnacle Getaways,COK-DXB,19400,08-02-2026,17-02-2026,Not Eligible,Vikram T.,Email,past cancellation window
RF-1760,Sunrise Trips,DEL-KTM,12000,26-04-2026,03-05-2026,Closed,Vikram T.,Email,done
RF-1545,Coral Voyages,BOM-DXB,19000,24-02-2026,01-03-2026,Closed,Rakesh N.,Portal,done
RF-1232,GoFly Holidays,DEL-KTM,8800,22-04-2026,30-04-2026,Working,Faizan K.,WhatsApp,customer notified
RF-1594,TripHub,DEL-BOM,6800,10-05-2026,18-05-2026,Closed,Rakesh N.,Phone,amount credited as per process
RF-1265,Lotus Travel Co,HYD-DEL,7500,10-05-2026,20/05/26,Closed,Priya S.,Portal,closed - agent informed
RF-1729,TripHub,HYD-DEL,11100,21-04-2026,24-04-2026,Closed,Faizan K.,Phone,done
RF-1665,Himalaya Holidays,DEL-KUL,14000,17-03-2026,23-03-2026,Closed,Priya S.,Portal,customer notified
RF-1606,BlueJet Tours,DEL-KUL,32500,10-03-2026,20-03-2026,Closed  ,Faizan K.,Portal,"refund processed, informed agent"
RF-1175, Orbit Travels,DEL-KTM,16600,12-05-2026,19-05-2026,Closed,Priya S.,Portal,customer notified
RF-1836,Peak Journeys,COK-DXB,24100,12-03-2026,22-03-2026,Closed,Aditi M.,Phone,"refund processed, informed agent"
RF-1135,Orbit Travels,CCU-BOM,12500,02-03-2026,07-03-2026,Closed,Rakesh N.,Email,closed - agent informed
RF-1495,TripHub,BOM-BKK,28900,22-03-2026,27-03-2026,Closed,Sneha R.,Portal,amount credited as per process
RF-1791,TripHub,BLR-DXB,19100,25-06-2026,30-06-2026,Closed,Sneha R.,Portal,"refund processed, informed agent"
RF-1527,Wander Agency,DEL-CCU,12300,17-04-2026,26-04-2026,Closed,Faizan K.,Phone,informed agent
RF-1786,Peak Journeys,HYD-DEL,7300,15-02-2026,21-02-2026,Closed,Rakesh N.,Phone,refund given
RF-1112,Metro Yatra,MAA-CMB,10100,29-04-2026,05-05-2026,Closed,Aditi M.,Portal,refund given
RF-1160,GoFly Holidays,BLR-DXB,14000,05-05-2026,13-05-2026,Closed,Vikram T.,Email,refund given
RF-1688,Voyage Desk,HYD-DEL,8300,27-03-2026,03-04-2026,Closed,Aditi M.,Portal,done
RF-1164,Sunrise Trips,DEL-BOM,10700,28-02-2026,09-03-2026,Closed,Priya S.,Portal,done
RF-1743,Global Wings,HYD-DEL,11700,27-04-2026,04-05-2026,Closed,Aditi M.,Portal,amount credited as per process
RF-1186,TripHub,DEL-KUL,31800,27-02-2026,07-03-2026,Closed,Vikram T.,WhatsApp,customer notified
RF-1522,Nomad Travel,MAA-CMB,13400,28-02-2026,06-03-2026,Closed,Vikram T.,Email,amount credited as per process
RF-1086,GoFly Holidays,DEL-DXB,28200,11-03-2026,18-03-2026,Closed,Faizan K.,Email,refund given
RF-1127,Voyage Desk ,BOM-DXB,16300,09/02/26,15-02-2026,Closed,Sneha R.,Portal,customer notified
RF-1068,Nomad Travel,DEL-SIN,19500,16-05-2026,27-05-2026,Closed,Priya S.,Phone,customer notified
RF-1280, ZipTrip,DEL-BOM,9200,30-06-2026,30-06-2026,Escalated,Vikram T.,Email,pending confirmation
RF-1539,Nomad Travel,BLR-MAA,6100,22-04-2026,30-04-2026,Closed,Priya S.,Portal,refund given
RF-1316,BlueJet Tours,DEL-CCU,7700,04/02/26,12-02-2026,Closed,Priya S.,Portal,closed - agent informed
RF-1472,Sunrise Trips,BLR-DXB,28300,23/03/26,04-04-2026,Closed,Aditi M.,Portal,amount credited as per process
RF-1069,Peak Journeys,BLR-DXB,22200,01-04-2026,11-04-2026,Closed,Vikram T.,Portal,"refund processed, informed agent"
RF-1746,DeccanFly,BLR-DXB,24900,20-05-2026,05-06-2026,Closed,Aditi M.,Email,"refund processed, informed agent"
RF-1802,Orbit Travels,DEL-SIN,40500,11-02-2026,21-02-2026,Closed,Faizan K.,Portal,customer notified
RF-1262,Orbit Travels,DEL-CCU,5900,11-05-2026,20-05-2026,Closed,Rakesh N.,Phone,refund given
RF-1331,Wander Agency,GOI-BOM,,13-04-2026,24-04-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
RF-1145,Peak Journeys,DEL-DXB,21300,10-06-2026,14-06-2026,Working,Rakesh N.,Phone,waiting on supplier
RF-1312,ORBIT TRAVELS,PNQ-DEL,5400,26-05-2026,29-05-2026,Closed,Faizan K.,Phone,done
RF-1040,Voyage Desk,DEL-BOM,6400,01-05-2026,04-05-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
RF-1129,Global Wings,DEL-KTM,17600,27-06-2026,30-06-2026,Closed,Sneha R.,Phone,"refund processed, informed agent"
RF-1019,GoFly Holidays,DEL-KTM,13500,01-06-2026,10-06-2026,Closed,Rakesh N.,Portal,amount credited as per process
RF-1227,Peak Journeys,DEL-BOM,12300,18/06/26,30-06-2026,Closed,Faizan K.,Portal,"refund processed, informed agent"
RF-1764,Wander Agency,DEL-BOM,13400,29-06-2026,30-06-2026,Closed,Aditi M.,Phone,refund given
RF-1083,Wander Agency,BOM-BKK,33600,21-02-2026,01-03-2026,Closed,Priya S.,Email,refund given
RF-1021,Kaveri Tours,AMD-BOM,7000,02-03-2026,12-03-2026,Closed,Sneha R.,Phone,done
RF-1498,Kaveri Tours,DEL-KTM,14000,05-04-2026,09-04-2026,Closed,Rakesh N.,Portal,done
RF-1353,GoFly Holidays,AMD-BOM,8700,11/02/26,14/02/26,Closed,Priya S.,Portal,refund given
